,Niche Name,Niche City,Maps_ID,Maps_Name,Maps Address,Maps_Rating,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating,ID,County,Type,Sector,Charter,Status,Street Address,Match Score,Matched Name,Matched City
0,California Academy of Mathematics & Science,Carson,ChIJv44FUNbKwoARj_BN6LF-lYU,California Academy of Mathematics and Science School,"1000 E Victoria St, Carson, CA 90747, USA",4.3,California Academy of Mathematics and Science,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647251995539,0.95,0.95,0.92,0.73,0.75,13.0,1340.0,680.0,660.0,31.0,30.0,31.0,31.0,30.0,1,Long Beach Unified,Carson,4.08,19647251995539,Los Angeles,High Schools (Public),Public,No,Active,"1000 East Victoria St., Bldg. SAC3 rm3117",95.45454545454545,California Academy of Mathematics and Science,Carson
1,Girls Academic Leadership Academy: Dr. Michelle King School for STEM,Los angeles,ChIJhR-7zPG4woARcTfgzXcip0s,Girls Academic Leadership Academy (GALA),"2328 St James Pl, Los Angeles, CA 90007, USA",3.8,"Girls Academic Leadership Academy, Dr. Michelle King School for Sci, Tech, Eng and Math",https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19647330133603,1.0,0.89,0.57,0.87,,,1260.0,610.0,640.0,30.0,28.0,30.0,30.0,30.0,2,Los Angeles Unified,Los Angeles,4.25,19647330133603,Los Angeles,K-12 Schools (Public),Public,No,Active,2328 Saint James Pl.,86.45161290322581,"Girls Academic Leadership Academy, Dr. Michelle King School for Sci, Tech, Eng and Math",Los Angeles
2,Troy High School,Fullerton,ChIJHRNwq8XV3IARi3Qi_pe6X3E,Troy High School,"2200 Dorothy Ln, Fullerton, CA 92831, USA",4.2,Troy High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30665143037496,0.99,0.85,0.73,0.92,0.67,29.0,1410.0,720.0,690.0,32.0,32.0,32.0,32.0,31.0,3,Fullerton Joint Union High,Fullerton,4.08,30665143037496,Orange,High Schools (Public),Public,No,Active,2200 East Dorothy Ln.,72.0,Troy High,Fullerton
3,Henry M. Gunn High School,Palo alto,ChIJv8p2nX-wj4ARIU6S2y07gT0,Henry M Gunn High School,"780 Arastradero Rd, Palo Alto, CA 94306, USA",3.9,Henry M. Gunn High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43696414332904,0.97,0.87,0.82,0.96,0.4,26.0,1430.0,730.0,700.0,32.0,32.0,32.0,33.0,31.0,4,Palo Alto Unified,Palo Alto,3.84,43696414332904,Santa Clara,High Schools (Public),Public,No,Active,780 Arastradero Rd.,83.72093023255813,Henry M. Gunn High,Palo Alto
4,Canyon Crest Academy,San diego,ChIJM5MFBRJF2YARusEk72kuOYA,Canyon Crest Academy,"5951 Village Center Loop Rd, San Diego, CA 92130, USA",4.4,Canyon Crest Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=37683460106328,0.99,0.89,0.8,0.88,0.57,25.0,1430.0,730.0,700.0,32.0,31.0,32.0,33.0,31.0,5,San Dieguito Union High,San Diego,4.28,37683460106328,San Diego,High Schools (Public),Public,No,Active,5951 Village Center Loop Rd.,100.0,Canyon Crest Academy,San Diego
5,Orange County School of the Arts,Santa ana,ChIJUYmKwKjZ3IAR66iuNI7GWBc,Orange County School of the Arts,"1010 N Main St, Santa Ana, CA 92701, USA",4.8,Orange County Educational Arts Academy,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=30666700109066,0.98,0.89,0.73,0.81,0.54,19.0,1330.0,660.0,670.0,30.0,28.0,31.0,31.0,29.0,6,Santa Ana Unified,Santa Ana,4.19,30666700109066,Orange,Elementary Schools (Public),Public,Yes,Active,825 North Broadway,62.857142857142854,Orange County Educational Arts Academy,Santa Ana
6,California School of the Arts - San Gabriel Valley,Duarte,ChIJ5RCGnf_YwoARzD1JGg59jcw,California School of the Arts - San Gabriel Valley,"1401 Highland Ave, Duarte, CA 91010, USA",4.6,California School of the Arts - San Gabriel Valley,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19644690134858,1.0,0.84,0.46,0.73,0.52,19.0,1270.0,620.0,650.0,28.0,25.0,30.0,29.0,27.0,7,Duarte Unified,Duarte,4.71,19644690134858,Los Angeles,High Schools (Public),Public,Yes,Active,1401 Highland Ave.,100.0,California School of the Arts - San Gabriel Valley,Duarte
7,Academy of the Canyons,Santa clarita,ChIJU_5P9i-HwoARr8i8H5_O-Lc,Academy of the Canyons,"26455 Rockwell Canyon Rd, Santa Clarita, CA 91355, USA",3.3,Academy of the Canyons,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=19651361996321,0.95,0.92,0.72,,,,1340.0,670.0,670.0,30.0,29.0,32.0,32.0,28.0,8,William S. Hart Union High,Santa Clarita,4.15,19651361996321,Los Angeles,High Schools (Public),Public,No,Active,26455 Rockwell Canyon Rd.,100.0,Academy of the Canyons,Santa Clarita
8,Palo Alto High School,Palo alto,ChIJ7QtCEyG7j4ARjD4nI1AAXHk,Palo Alto High School,"50 Embarcadero Rd, Palo Alto, CA 94301, USA",4.1,Palo Alto High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=43696414335782,0.95,0.88,0.84,0.95,0.42,26.0,1410.0,720.0,690.0,31.0,30.0,31.0,31.0,31.0,9,Palo Alto Unified,Palo Alto,3.95,43696414335782,Santa Clara,High Schools (Public),Public,No,Active,50 Embarcadero Rd.,80.0,Palo Alto High,Palo Alto
9,Lowell High School,San francisco,ChIJLbVZeqN9j4AR_U7DEiiHSNY,Lowell High School,"1101 Eucalyptus Dr, San Francisco, CA 94132, USA",4.4,Lowell High,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=38684783833407,0.99,0.96,0.85,0.94,0.55,29.0,1370.0,690.0,670.0,30.0,29.0,31.0,31.0,29.0,10,San Francisco Unified,San Francisco,3.81,38684783833407,San Francisco,High Schools (Public),Public,No,Active,1101 Eucalyptus Dr.,75.86206896551724,Lowell High,San Francisco
