,Name,Link,Graduation Rate,Reading Proficiency,Math Proficiency,AP Pass Rate,AP Enrollment Rate,APs Offered,SAT,SAT Math,SAT English,ACT,ACT Math,ACT Reading,ACT English,ACT Science,Rank,District,City,Rating
0,California Academy of Mathematics & Science,https://www.niche.com/k12/california-academy-of-mathematics-and-science-carson-ca/,0.95,0.95,0.92,0.73,0.75,13.0,1340.0,680.0,660.0,31.0,30.0,31.0,31.0,30.0,1,Long Beach Unified School District,Carson,4.08
1,Girls Academic Leadership Academy: Dr. Michelle King School for STEM,https://www.niche.com/k12/girls-academic-leadership-academy-dr-michelle-king-school-for-stem-los-angeles-ca/,1.0,0.89,0.57,0.87,,,1260.0,610.0,640.0,30.0,28.0,30.0,30.0,30.0,2,Los Angeles Unified School District,Los angeles,4.25
2,Troy High School,https://www.niche.com/k12/troy-high-school-fullerton-ca/,0.99,0.85,0.73,0.92,0.67,29.0,1410.0,720.0,690.0,32.0,32.0,32.0,32.0,31.0,3,Fullerton Joint Union High School District,Fullerton,4.08
3,Henry M. Gunn High School,https://www.niche.com/k12/henry-m-gunn-high-school-palo-alto-ca/,0.97,0.87,0.82,0.96,0.4,26.0,1430.0,730.0,700.0,32.0,32.0,32.0,33.0,31.0,4,Palo Alto Unified School District,Palo alto,3.84
4,Canyon Crest Academy,https://www.niche.com/k12/canyon-crest-academy-san-diego-ca/,0.99,0.89,0.8,0.88,0.57,25.0,1430.0,730.0,700.0,32.0,31.0,32.0,33.0,31.0,5,San Dieguito Union High School District,San diego,4.28
5,Orange County School of the Arts,https://www.niche.com/k12/orange-county-school-of-the-arts-santa-ana-ca/,0.98,0.89,0.73,0.81,0.54,19.0,1330.0,660.0,670.0,30.0,28.0,31.0,31.0,29.0,6,,Santa ana,4.19
6,California School of the Arts - San Gabriel Valley,https://www.niche.com/k12/california-school-of-the-arts-san-gabriel-valley-duarte-ca/,1.0,0.84,0.46,0.73,0.52,19.0,1270.0,620.0,650.0,28.0,25.0,30.0,29.0,27.0,7,,Duarte,4.71
7,Academy of the Canyons,https://www.niche.com/k12/academy-of-the-canyons-santa-clarita-ca/,0.95,0.92,0.72,,,,1340.0,670.0,670.0,30.0,29.0,32.0,32.0,28.0,8,William S. Hart Union High School District,Santa clarita,4.15
8,Palo Alto High School,https://www.niche.com/k12/palo-alto-high-school-palo-alto-ca/,0.95,0.88,0.84,0.95,0.42,26.0,1410.0,720.0,690.0,31.0,30.0,31.0,31.0,31.0,9,Palo Alto Unified School District,Palo alto,3.95
9,Lowell High School,https://www.niche.com/k12/lowell-high-school-san-francisco-ca/,0.99,0.96,0.85,0.94,0.55,29.0,1370.0,690.0,670.0,30.0,29.0,31.0,31.0,29.0,10,San Francisco Unified School District,San francisco,3.81
10,Castro Valley Virtual Academy,https://www.niche.com/k12/castro-valley-virtual-academy-castro-valley-ca/,0.9,0.62,0.52,,,,,,,,,,,,11,Castro Valley Unified School District,K-12,2.0
11,Saratoga High School,https://www.niche.com/k12/saratoga-high-school-saratoga-ca/,0.97,0.86,0.86,0.89,0.56,23.0,1450.0,740.0,710.0,33.0,33.0,33.0,33.0,32.0,12,Los Gatos-Saratoga Joint Union High School District,Saratoga,3.9
12,Middle College High School,https://www.niche.com/k12/middle-college-high-school-stockton-ca/,0.95,0.9,0.85,,,,1310.0,650.0,660.0,30.0,29.0,31.0,31.0,29.0,13,Lodi Unified School District,Stockton,3.83
13,Los Altos High School,https://www.niche.com/k12/los-altos-high-school-los-altos-ca/,0.98,0.85,0.7,0.85,0.48,23.0,1370.0,700.0,680.0,31.0,31.0,32.0,32.0,31.0,14,Mountain View-Los Altos Union High School District,Los altos,3.93
14,Early College High School,https://www.niche.com/k12/early-college-high-school-costa-mesa-ca/,0.9,0.9,0.75,,,,1180.0,590.0,590.0,24.0,23.0,24.0,25.0,23.0,15,Newport-Mesa Unified School District,Costa mesa,3.98
15,Soar High (Students on Academic Rise),https://www.niche.com/k12/soar-high-students-on-academic-rise-lancaster-ca/,0.95,0.92,0.47,,,,1150.0,570.0,580.0,26.0,26.0,26.0,26.0,25.0,16,Antelope Valley Union High School District,Lancaster,4.05
16,Palos Verdes Peninsula High School,https://www.niche.com/k12/palos-verdes-peninsula-high-school-rolling-hills-estates-ca/,0.99,0.82,0.74,0.87,0.48,32.0,1370.0,700.0,670.0,30.0,29.0,30.0,30.0,29.0,17,Palos Verdes Peninsula Unified School District,Rolling hills estates,4.02
17,University High School,https://www.niche.com/k12/university-high-school-irvine-ca/,0.96,0.75,0.7,0.94,0.44,23.0,1410.0,720.0,690.0,31.0,30.0,32.0,32.0,31.0,18,Irvine Unified School District,Irvine,3.89
18,Torrey Pines High School,https://www.niche.com/k12/torrey-pines-high-school-san-diego-ca/,0.97,0.74,0.53,0.89,0.51,28.0,1350.0,690.0,660.0,30.0,29.0,31.0,31.0,30.0,19,San Dieguito Union High School District,San diego,4.08
19,Westview High School,https://www.niche.com/k12/westview-high-school-san-diego-ca/,0.97,0.88,0.73,0.77,0.48,25.0,1350.0,690.0,670.0,31.0,30.0,31.0,31.0,30.0,20,Poway Unified School District,San diego,4.04
20,Mt. Everest Academy,https://www.niche.com/k12/mt-everest-academy-san-diego-ca/,0.9,0.87,0.77,0.55,0.6,14.0,1380.0,690.0,690.0,31.0,29.0,32.0,31.0,31.0,21,San Diego Unified School District,San diego,4.3
21,Riverside STEM Academy,https://www.niche.com/k12/riverside-stem-academy-riverside-ca/,0.9,0.87,0.82,0.68,,,1340.0,680.0,670.0,29.0,28.0,29.0,29.0,29.0,22,Riverside Unified School District,Riverside,4.28
22,Whitney High School,https://www.niche.com/k12/whitney-high-school-cerritos-ca/,0.95,0.99,0.99,0.98,0.57,17.0,1420.0,730.0,700.0,32.0,32.0,33.0,32.0,31.0,23,ABC Unified School District,Cerritos,3.8
23,The Science Academy STEM Magnet,https://www.niche.com/k12/the-science-academy-stem-magnet-north-hollywood-ca/,,0.96,0.96,,,,1430.0,730.0,700.0,32.0,32.0,32.0,32.0,32.0,24,Los Angeles Unified School District,North hollywood,4.04
24,South Pasadena Senior High School,https://www.niche.com/k12/south-pasadena-senior-high-school-south-pasadena-ca/,0.95,0.84,0.65,0.91,0.43,14.0,1380.0,700.0,680.0,31.0,30.0,31.0,31.0,30.0,25,South Pasadena Unified School District,South pasadena,3.7
25,Mountain View High School,https://www.niche.com/k12/mountain-view-high-school-mountain-view-ca/,0.91,0.83,0.71,0.81,0.51,25.0,1370.0,690.0,680.0,31.0,30.0,31.0,31.0,30.0,26,Mountain View-Los Altos Union High School District,Mountain view,3.93
26,Eunice Sato Academy of Math & Science,https://www.niche.com/k12/eunice-sato-academy-of-math-and-science-long-beach-ca/,0.95,0.95,0.77,0.29,,,1230.0,620.0,620.0,28.0,27.0,31.0,29.0,24.0,27,Long Beach Unified School District,Long beach,4.57
27,Granada Hills Charter,https://www.niche.com/k12/granada-hills-charter-granada-hills-ca/,0.94,0.75,0.55,,,,1290.0,650.0,640.0,29.0,28.0,29.0,29.0,28.0,28,,Granada hills,4.04
28,Redwood High School,https://www.niche.com/k12/redwood-high-school-larkspur-ca/,0.99,0.83,0.67,0.88,0.45,20.0,1340.0,680.0,670.0,30.0,29.0,30.0,31.0,29.0,29,Tamalpais Union High School District,Larkspur,4.02
29,La Canada High School,https://www.niche.com/k12/la-canada-high-school-la-canada-ca/,0.99,0.89,0.81,0.9,0.52,15.0,1400.0,710.0,690.0,31.0,31.0,32.0,32.0,31.0,30,La Canada Unified School District,La canada,3.69
30,Helix Charter High School,https://www.niche.com/k12/helix-charter-high-school-la-mesa-ca/,0.98,0.83,0.57,0.78,0.13,10.0,1200.0,610.0,590.0,26.0,25.0,27.0,26.0,25.0,31,,La mesa,4.27
31,Del Norte High School,https://www.niche.com/k12/del-norte-high-school-san-diego-ca/,0.97,0.84,0.76,0.78,0.51,21.0,1360.0,690.0,670.0,31.0,30.0,32.0,31.0,30.0,32,Poway Unified School District,San diego,4.06
32,Oxford Academy,https://www.niche.com/k12/oxford-academy-cypress-ca/,0.95,0.98,0.95,,,,1400.0,710.0,690.0,32.0,31.0,32.0,33.0,31.0,33,Anaheim Union High School District,Cypress,3.65
33,Rancho Learning Center,https://www.niche.com/k12/rancho-learning-center-arcadia-ca/,0.85,0.67,0.57,,,,,,,,,,,,34,Arcadia Unified School District,Arcadia,3.33
34,Independence High (Alternative),https://www.niche.com/k12/independence-high-alternative-alhambra-ca/,0.92,0.65,0.35,,,,,,,,,,,,35,Alhambra Unified School District,Alhambra,5.0
35,Cupertino High School,https://www.niche.com/k12/cupertino-high-school-cupertino-ca/,0.97,0.86,0.77,0.95,0.4,18.0,1410.0,730.0,680.0,32.0,32.0,32.0,32.0,31.0,36,Fremont Union High School District,Cupertino,3.82
36,Northwood High School,https://www.niche.com/k12/northwood-high-school-irvine-ca/,0.97,0.87,0.73,0.93,0.35,15.0,1400.0,710.0,680.0,32.0,31.0,32.0,32.0,31.0,37,Irvine Unified School District,Irvine,4.03
37,Piedmont High School,https://www.niche.com/k12/piedmont-high-school-piedmont-ca/,0.97,0.82,0.72,0.81,0.49,16.0,1370.0,690.0,680.0,31.0,30.0,32.0,32.0,31.0,38,Piedmont City Unified School District,Piedmont,3.75
38,Campolindo High School,https://www.niche.com/k12/campolindo-high-school-moraga-ca/,0.99,0.87,0.7,0.87,0.47,19.0,1370.0,680.0,690.0,31.0,29.0,31.0,31.0,30.0,39,Acalanes Union High School District,Moraga,4.01
39,Arcadia High School,https://www.niche.com/k12/arcadia-high-school-arcadia-ca/,0.98,0.7,0.63,0.87,0.41,19.0,1380.0,700.0,670.0,31.0,31.0,31.0,32.0,30.0,40,Arcadia Unified School District,Arcadia,3.81
40,Lynbrook High School,https://www.niche.com/k12/lynbrook-high-school-san-jose-ca/,0.97,0.95,0.94,0.94,0.44,17.0,1460.0,750.0,710.0,33.0,33.0,33.0,33.0,33.0,41,Fremont Union High School District,San jose,3.79
41,Da Vinci Science,https://www.niche.com/k12/da-vinci-science-el-segundo-ca/,0.95,0.87,0.62,,,,1180.0,590.0,590.0,25.0,24.0,26.0,26.0,24.0,42,,El segundo,4.07
42,Amador Valley High School,https://www.niche.com/k12/amador-valley-high-school-pleasanton-ca/,0.97,0.81,0.7,0.93,0.42,22.0,1390.0,710.0,680.0,31.0,30.0,31.0,31.0,30.0,43,Pleasanton Unified School District,Pleasanton,4.08
43,Downtown Magnets High School,https://www.niche.com/k12/downtown-magnets-high-school-los-angeles-ca/,0.99,0.87,0.57,0.57,0.5,23.0,1160.0,590.0,570.0,26.0,26.0,26.0,26.0,25.0,44,Los Angeles Unified School District,Los angeles,3.88
44,West Ranch High School,https://www.niche.com/k12/west-ranch-high-school-valencia-ca/,0.98,0.85,0.56,0.71,0.49,23.0,1320.0,660.0,650.0,30.0,29.0,31.0,31.0,29.0,45,William S. Hart Union High School District,Valencia,3.85
45,Harbor Teacher Preparation Academy,https://www.niche.com/k12/harbor-teacher-preparation-academy-wilmington-ca/,0.95,0.95,0.77,0.52,0.54,10.0,1210.0,600.0,610.0,26.0,26.0,26.0,25.0,24.0,46,Los Angeles Unified School District,Wilmington,3.78
46,Aragon High School,https://www.niche.com/k12/aragon-high-school-san-mateo-ca/,0.96,0.86,0.63,0.83,0.33,20.0,1340.0,680.0,670.0,31.0,30.0,32.0,32.0,31.0,47,San Mateo Union High School District,San mateo,3.99
47,Arnold O. Beckman High School,https://www.niche.com/k12/arnold-o-beckman-high-school-irvine-ca/,0.96,0.8,0.59,0.83,0.45,24.0,1350.0,690.0,660.0,31.0,30.0,31.0,32.0,30.0,48,Tustin Unified School District,Irvine,3.88
48,Foothill High School,https://www.niche.com/k12/foothill-high-school-pleasanton-ca/,0.98,0.83,0.73,0.83,0.42,27.0,1380.0,700.0,680.0,31.0,30.0,31.0,31.0,30.0,49,Pleasanton Unified School District,Pleasanton,3.86
49,University Preparatory Academy Charter School,https://www.niche.com/k12/university-preparatory-academy-charter-school-san-jose-ca/,0.95,0.75,0.58,0.81,0.53,,1340.0,680.0,660.0,31.0,31.0,31.0,31.0,30.0,50,,San jose,3.82
50,The Preuss School UC San Diego,https://www.niche.com/k12/the-preuss-school-uc-san-diego-la-jolla-ca/,0.92,0.61,0.38,0.51,0.78,,1180.0,590.0,590.0,23.0,22.0,23.0,23.0,22.0,51,,La jolla,4.16
51,Sage Creek High School,https://www.niche.com/k12/sage-creek-high-school-carlsbad-ca/,0.98,0.88,0.56,0.68,0.42,13.0,1330.0,670.0,660.0,30.0,29.0,30.0,30.0,29.0,52,Carlsbad Unified School District,Carlsbad,4.38
52,Miramonte High School,https://www.niche.com/k12/miramonte-high-school-orinda-ca/,0.99,0.8,0.72,0.92,0.46,15.0,1370.0,680.0,680.0,31.0,30.0,32.0,32.0,30.0,53,Acalanes Union High School District,Orinda,3.95
53,San Marino High School,https://www.niche.com/k12/san-marino-high-school-san-marino-ca/,0.96,0.77,0.67,0.9,0.35,14.0,1400.0,710.0,690.0,31.0,31.0,31.0,31.0,30.0,54,San Marino Unified School District,San marino,4.05
54,Mission Early College High,https://www.niche.com/k12/mission-early-college-high-santa-clara-ca/,0.9,0.85,0.45,,,,1360.0,660.0,690.0,,,,,,55,Santa Clara Unified School District,Santa clara,4.44
55,Granite Bay High School,https://www.niche.com/k12/granite-bay-high-school-granite-bay-ca/,0.96,0.85,0.61,0.89,0.54,23.0,1320.0,670.0,650.0,29.0,28.0,30.0,29.0,28.0,56,Roseville Joint Union High School District,Granite bay,4.03
56,Davis Senior High School,https://www.niche.com/k12/davis-senior-high-school-davis-ca/,0.97,0.78,0.62,0.91,0.49,20.0,1350.0,680.0,670.0,30.0,30.0,31.0,31.0,30.0,57,Davis Joint Unified School District,Davis,3.82
57,Alameda Science and Technology Institute,https://www.niche.com/k12/alameda-science-and-technology-institute-alameda-ca/,0.9,0.9,0.65,,,,1320.0,670.0,650.0,32.0,31.0,34.0,34.0,28.0,58,Alameda Unified School District,Alameda,3.99
58,Homestead High School,https://www.niche.com/k12/homestead-high-school-cupertino-ca/,0.97,0.82,0.73,0.9,0.33,17.0,1400.0,720.0,690.0,31.0,31.0,31.0,32.0,31.0,59,Fremont Union High School District,Cupertino,3.75
59,John F. Kennedy High School,https://www.niche.com/k12/john-f-kennedy-high-school-norco-ca/,0.95,0.92,0.62,,,,1160.0,580.0,580.0,24.0,23.0,25.0,23.0,25.0,60,Corona-Norco Unified School District,Norco,3.98
60,Burlingame High School,https://www.niche.com/k12/burlingame-high-school-burlingame-ca/,0.96,0.85,0.61,0.99,0.43,17.0,1340.0,680.0,660.0,30.0,29.0,30.0,30.0,29.0,61,San Mateo Union High School District,Burlingame,3.85
61,Carmel High School,https://www.niche.com/k12/carmel-high-school-carmel-ca/,0.98,0.82,0.56,0.78,0.53,18.0,1310.0,650.0,660.0,30.0,28.0,31.0,31.0,29.0,62,Carmel Unified School District,Carmel,3.99
62,Woodbridge High School,https://www.niche.com/k12/woodbridge-high-school-irvine-ca/,0.96,0.77,0.54,0.88,0.48,23.0,1370.0,700.0,670.0,31.0,30.0,31.0,31.0,30.0,63,Irvine Unified School District,Irvine,3.84
63,Carlmont High School,https://www.niche.com/k12/carlmont-high-school-belmont-ca/,0.95,0.88,0.69,0.85,0.38,18.0,1360.0,690.0,670.0,30.0,30.0,31.0,30.0,29.0,64,Sequoia Union High School District,Belmont,3.91
64,Capistrano Valley High School,https://www.niche.com/k12/capistrano-valley-high-school-mission-viejo-ca/,0.98,0.78,0.53,0.73,0.62,26.0,1290.0,650.0,640.0,30.0,28.0,31.0,30.0,29.0,65,Capistrano Unified School District,Mission viejo,3.77
65,Oak Park High School,https://www.niche.com/k12/oak-park-high-school-oak-park-ca/,0.98,0.82,0.64,0.88,0.31,19.0,1350.0,680.0,670.0,30.0,29.0,31.0,31.0,30.0,66,Oak Park Unified School District,Oak park,3.94
66,Westlake High School,https://www.niche.com/k12/westlake-high-school-westlake-village-ca/,0.95,0.73,0.58,0.75,0.51,24.0,1350.0,680.0,670.0,30.0,29.0,31.0,31.0,29.0,67,Conejo Valley Unified School District,Westlake village,3.87
67,San Mateo High School,https://www.niche.com/k12/san-mateo-high-school-san-mateo-ca/,0.88,0.68,0.45,0.98,0.34,18.0,1320.0,660.0,650.0,31.0,30.0,31.0,31.0,30.0,68,San Mateo Union High School District,San mateo,4.09
68,Walnut High School,https://www.niche.com/k12/walnut-high-school-walnut-ca/,0.97,0.8,0.61,0.89,0.37,26.0,1330.0,680.0,650.0,31.0,32.0,31.0,31.0,31.0,69,Walnut Valley Unified School District,Walnut,3.83
69,Los Gatos High School,https://www.niche.com/k12/los-gatos-high-school-los-gatos-ca/,0.98,0.86,0.66,0.85,0.4,18.0,1350.0,680.0,670.0,31.0,30.0,31.0,31.0,30.0,70,Los Gatos-Saratoga Joint Union High School District,Los gatos,4.04
70,Grossmont Middle College High School,https://www.niche.com/k12/grossmont-middle-college-high-school-el-cajon-ca/,0.9,0.9,0.55,,,,1230.0,610.0,620.0,28.0,28.0,28.0,29.0,27.0,71,Grossmont Union High School District,El cajon,4.17
71,High Tech Los Angeles,https://www.niche.com/k12/high-tech-los-angeles-lake-balboa-ca/,0.92,0.72,0.42,,,,1190.0,600.0,600.0,25.0,23.0,26.0,25.0,24.0,72,,Lake balboa,4.28
72,Santa Monica High School,https://www.niche.com/k12/santa-monica-high-school-santa-monica-ca/,0.97,0.82,0.51,0.7,0.25,16.0,1290.0,640.0,650.0,30.0,28.0,30.0,30.0,29.0,73,Santa Monica-Malibu Unified School District,Santa monica,3.85
73,Mills High School,https://www.niche.com/k12/mills-high-school-millbrae-ca/,0.97,0.82,0.72,0.93,0.37,18.0,1340.0,680.0,650.0,31.0,31.0,31.0,31.0,31.0,74,San Mateo Union High School District,Millbrae,3.81
74,Great Oak High School,https://www.niche.com/k12/great-oak-high-school-temecula-ca/,0.97,0.8,0.53,0.69,0.48,37.0,1220.0,610.0,610.0,27.0,26.0,28.0,27.0,27.0,75,Temecula Valley Unified School District,Temecula,4.13
75,Mira Costa High School,https://www.niche.com/k12/mira-costa-high-school-manhattan-beach-ca/,0.96,0.74,0.6,0.84,0.48,25.0,1330.0,670.0,670.0,31.0,29.0,31.0,31.0,30.0,76,Manhattan Beach Unified School District,Manhattan beach,3.73
76,Crescenta Valley High School,https://www.niche.com/k12/crescenta-valley-high-school-la-crescenta-ca/,0.99,0.81,0.58,0.83,0.42,27.0,1340.0,680.0,660.0,31.0,30.0,31.0,32.0,30.0,77,Glendale Unified School District,La crescenta,3.93
77,Pacific Collegiate Charter School,https://www.niche.com/k12/pacific-collegiate-charter-school-santa-cruz-ca/,0.95,0.79,0.6,0.87,0.17,,1390.0,690.0,700.0,31.0,29.0,32.0,31.0,31.0,78,,Santa cruz,3.63
78,Coronado High School,https://www.niche.com/k12/coronado-high-school-coronado-ca/,0.97,0.82,0.55,0.81,0.49,18.0,1280.0,640.0,640.0,29.0,28.0,30.0,30.0,28.0,79,Coronado Unified School District,Coronado,4.14
79,Sunny Hills High School,https://www.niche.com/k12/sunny-hills-high-school-fullerton-ca/,0.98,0.73,0.54,0.8,0.57,27.0,1330.0,680.0,650.0,31.0,30.0,31.0,31.0,30.0,80,Fullerton Joint Union High School District,Fullerton,3.91
80,Diamond Bar High School,https://www.niche.com/k12/diamond-bar-high-school-diamond-bar-ca/,0.98,0.78,0.7,0.87,0.34,26.0,1360.0,700.0,660.0,31.0,31.0,31.0,32.0,30.0,81,Walnut Valley Unified School District,Diamond bar,3.85
81,Portola High School,https://www.niche.com/k12/portola-high-school-irvine-ca/,0.95,0.85,0.67,0.07,,,1400.0,710.0,690.0,32.0,31.0,33.0,33.0,32.0,82,Irvine Unified School District,Irvine,4.29
82,Palos Verdes High School,https://www.niche.com/k12/palos-verdes-high-school-palos-verdes-estates-ca/,0.98,0.75,0.55,0.72,0.5,32.0,1330.0,670.0,660.0,29.0,28.0,30.0,30.0,29.0,83,Palos Verdes Peninsula Unified School District,Palos verdes estates,3.97
83,Mt. Carmel High School,https://www.niche.com/k12/mt-carmel-high-school-san-diego-ca/,0.98,0.72,0.52,0.65,0.38,21.0,1300.0,650.0,640.0,29.0,28.0,29.0,29.0,28.0,84,Poway Unified School District,San diego,4.14
84,Cambridge Virtual Academy,https://www.niche.com/k12/cambridge-virtual-academy-ca/,1.0,0.72,0.47,,,,,,,,,,,,85,Anaheim Union High School District,7-12,5.0
85,Escondido Charter High School,https://www.niche.com/k12/escondido-charter-high-school-escondido-ca/,0.92,0.71,0.46,,,,1230.0,630.0,610.0,30.0,29.0,31.0,30.0,28.0,86,,Escondido,4.04
86,Yorba Linda High School,https://www.niche.com/k12/yorba-linda-high-school-yorba-linda-ca/,0.98,0.69,0.55,0.98,0.31,22.0,1310.0,660.0,640.0,28.0,28.0,29.0,28.0,27.0,87,Placentia-Yorba Linda Unified School District,Yorba linda,3.97
87,Redondo Union High School,https://www.niche.com/k12/redondo-union-high-school-redondo-beach-ca/,0.97,0.75,0.53,0.77,0.34,22.0,1290.0,650.0,640.0,27.0,26.0,28.0,28.0,27.0,88,Redondo Beach Unified School District,Redondo beach,4.1
88,Monte Vista High School,https://www.niche.com/k12/monte-vista-high-school-danville-ca/,0.98,0.86,0.63,0.92,0.43,32.0,1340.0,680.0,670.0,31.0,30.0,31.0,31.0,30.0,89,San Ramon Valley Unified School District,Danville,3.9
89,Larchmont Charter School,https://www.niche.com/k12/larchmont-charter-school-los-angeles-ca/,0.95,0.69,0.55,,,,1270.0,630.0,640.0,28.0,26.0,31.0,29.0,27.0,90,,Los angeles,4.03
90,Design Science Middle College High School,https://www.niche.com/k12/design-science-middle-college-high-school-fresno-ca/,0.95,0.75,0.55,,,,1140.0,580.0,560.0,20.0,21.0,20.0,19.0,20.0,91,Fresno Unified School District,Fresno,4.24
