,ID,Name,County,District,Type,Sector,Link,Charter,Status,Street Address,City
0,01100170130419,Alameda County Community,Alameda,Alameda County Office of Education,County Community,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170130419,No,Active,313 West Winton Ave.,Hayward
1,01100170130401,Alameda County Juvenile Hall/Court,Alameda,Alameda County Office of Education,Juvenile Court Schools,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170130401,No,Active,2500 Fairmont Ave.,San Leandro
2,01100176106751,Alameda County Special Education,Alameda,Alameda County Office of Education,Special Education Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100176106751,No,Active,313 West Winton Ave.,Hayward
3,01100170130625,Alternatives in Action,Alameda,Alameda County Office of Education,High Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170130625,Yes,Active,6221 East 17th St.,Oakland
4,01100170137448,Aurum Preparatory Academy,Alameda,Alameda County Office of Education,Junior High Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170137448,Yes,Active,1034 66th Ave.,Oakland
5,01100170123968,Community School for Creative Education,Alameda,Alameda County Office of Education,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170123968,Yes,Active,2111 International Blvd.,Oakland
6,01100170136101,Connecting Waters Charter - East Bay,Alameda,Alameda County Office of Education,K-12 Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170136101,Yes,Active,703 C St.,Union City
7,01100176001788,Cox Academy,Alameda,Alameda County Office of Education,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100176001788,Yes,Active,9860 Sunnyside St.,Oakland
8,01100170112607,Envision Academy for Arts & Technology,Alameda,Alameda County Office of Education,K-12 Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170112607,Yes,Active,1515 Webster St.,Oakland
9,01100170129403,Epic Charter,Alameda,Alameda County Office of Education,Intermediate/Middle Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170129403,Yes,Active,1045 Derby Ave.,Oakland
10,01100170138867,Hayward Collegiate Charter,Alameda,Alameda County Office of Education,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170138867,Yes,Active,166 West Harder Rd.,Hayward
11,01100176002000,Lazear Charter Academy,Alameda,Alameda County Office of Education,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100176002000,Yes,Active,824 29th Ave.,Oakland
12,01100170131581,Oakland Unity Middle,Alameda,Alameda County Office of Education,Intermediate/Middle Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170131581,Yes,Active,1180 70th Ave.,Oakland
13,01100170136226,Opportunity Academy,Alameda,Alameda County Office of Education,County Community,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170136226,Yes,Active,313 West Winton Ave.,Hayward
14,01100170125567,Urban Montessori Charter,Alameda,Alameda County Office of Education,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170125567,Yes,Active,4551 Steele St.,Oakland
15,01100170124172,Yu Ming Charter,Alameda,Alameda County Office of Education,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170124172,Yes,Active,2501 Chestnut St.,Oakland
16,01611190130120,Alameda Adult,Alameda,Alameda Unified,Adult Education Centers,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190130120,No,Active,2201 Encinal Ave.,Alameda
17,01611190130609,Alameda Community Learning Center,Alameda,Alameda Unified,K-12 Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190130609,Yes,Active,1900 Third St.,Alameda
18,01611190130229,Alameda High,Alameda,Alameda Unified,High Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190130229,No,Active,2200 Central Ave.,Alameda
19,01611190106401,Alameda Science and Technology Institute,Alameda,Alameda Unified,Alternative Schools of Choice,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190106401,No,Active,555 Ralph Appezzato Memorial Pkwy.,Alameda
20,01611190138214,Alameda Unified Special Education,Alameda,Alameda Unified,Preschool,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190138214,No,Active,2060 Challenger Dr.,Alameda
21,01611196100374,Amelia Earhart Elementary,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196100374,No,Active,400 Packet Landing Rd.,Alameda
22,01611196110779,Bay Farm,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196110779,No,Active,200 Aughinbaugh Way,Alameda
23,01611196090013,Edison Elementary,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196090013,No,Active,2700 Buena Vista Ave.,Alameda
24,01611190132142,Encinal Junior/Senior High,Alameda,Alameda Unified,K-12 Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190132142,No,Active,210 Central Ave.,Alameda
25,01611196090021,Frank Otis Elementary,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196090021,No,Active,3010 Fillmore St.,Alameda
26,01611196090039,Franklin Elementary,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196090039,No,Active,1433 San Antonio Ave.,Alameda
27,01611190134304,Island High (Continuation),Alameda,Alameda Unified,Continuation High Schools,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190134304,No,Active,500 Pacific Ave.,Alameda
28,01611196090054,Lincoln Middle,Alameda,Alameda Unified,Intermediate/Middle Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196090054,No,Active,1250 Fernside Blvd.,Alameda
29,01611196090047,Love Elementary,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196090047,No,Active,2025 Santa Clara Ave.,Alameda
30,01611190139220,Maya Lin,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190139220,No,Active,825 Taylor Ave.,Alameda
31,01611190119222,Nea Community Learning Center,Alameda,Alameda Unified,K-12 Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190119222,Yes,Active,1900 Third St.,Alameda
32,01611190111765,Ruby Bridges Elementary,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190111765,No,Active,351 Jack London Ave.,Alameda
33,01611190122085,The Academy of Alameda,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190122085,Yes,Active,401 Pacific Ave.,Alameda
34,01611196090112,Will C. Wood Middle,Alameda,Alameda Unified,Intermediate/Middle Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196090112,No,Active,1801 Sandcreek Way,Alameda
35,01611196090120,William G. Paden Elementary,Alameda,Alameda Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611196090120,No,Active,444 Central Ave.,Alameda
36,01611270130450,Albany High,Alameda,Albany City Unified,High Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611270130450,No,Active,603 Key Route Blvd.,Albany
37,01611276090161,Albany Middle,Alameda,Albany City Unified,Intermediate/Middle Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611276090161,No,Active,1259 Brighton Ave.,Albany
38,01611276090146,Cornell Elementary,Alameda,Albany City Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611276090146,No,Active,920 Talbot Ave.,Albany
39,01611270130294,MacGregor High (Continuation),Alameda,Albany City Unified,Continuation High Schools,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611270130294,No,Active,603 Key Route Blvd.,Albany
40,01611276095376,Marin Elementary,Alameda,Albany City Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611276095376,No,Active,1001 Santa Fe Ave.,Albany
41,01611276116222,Ocean View Elementary,Alameda,Albany City Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611276116222,No,Active,1000 Jackson St.,Albany
42,01611430131078,Berkeley Adult,Alameda,Berkeley Unified,Adult Education Centers,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611430131078,No,Active,1939 Ward St.,Berkeley
43,01611436097729,Berkeley Arts Magnet at Whittier,Alameda,Berkeley Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436097729,No,Active,1645 Milvia St.,Berkeley
44,01611430131177,Berkeley High,Alameda,Berkeley Unified,High Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611430131177,No,Active,1980 Allston Way,Berkeley
45,01611430141655,Berkeley Independent Study K-8,Alameda,Berkeley Unified,Alternative Schools of Choice,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611430141655,No,Active,2701 Martin Luther King Jr Way,Berkeley
46,01611430122804,Berkeley Special Education Preschool,Alameda,Berkeley Unified,Preschool,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611430122804,No,Active,2134 Martin Luther King Jr. Way,Berkeley
47,01611430134924,Berkeley Technology Academy,Alameda,Berkeley Unified,Continuation High Schools,Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611430134924,No,Active,2701 Martin Luther King Jr. Way,Berkeley
48,01611436090195,Cragmont Elementary,Alameda,Berkeley Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436090195,No,Active,830 Regal Rd.,Berkeley
49,01611436090211,Emerson Elementary,Alameda,Berkeley Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436090211,No,Active,2800 Forest Ave.,Berkeley
50,01611436105316,John Muir Elementary,Alameda,Berkeley Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436105316,No,Active,2955 Claremont Ave.,Berkeley
51,01611436090294,Longfellow Arts and Technology Middle,Alameda,Berkeley Unified,Intermediate/Middle Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436090294,No,Active,1701 San Pablo Ave.,Berkeley
52,01611436090286,Malcolm X Elementary,Alameda,Berkeley Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436090286,No,Active,1731 Prince St.,Berkeley
53,01611436056857,Martin Luther King Middle,Alameda,Berkeley Unified,Intermediate/Middle Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436056857,No,Active,1781 Rose St.,Berkeley
54,01611436090302,Oxford Elementary at West Campus,Alameda,Berkeley Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436090302,No,Active,1222 University Ave.,Berkeley
55,01611436090187,Rosa Parks Environmental Science,Alameda,Berkeley Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436090187,No,Active,920 Allston Way,Berkeley
56,01611436090252,Ruth Acty Elementary,Alameda,Berkeley Unified,Elementary Schools (Public),Public,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436090252,No,Active,1465 Acton St.,Berkeley
